datacenter_id,server_generation,server_id,action,server_type,release_time,purchase_price,slots_size,energy_consumption,capacity,life_expectancy,cost_of_moving,average_maintenance_fee,cost_of_energy,latency_sensitivity,slots_capacity,selling_price,lifespan,moved,cost
DC1,CPU.S3,6ff77f61-eb61-4052-bf5b-99cbe14b2a3a,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,9dd9362c-5fc4-4976-8cef-5218ef446361,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,838baf67-a2c8-410e-8205-bf88e191d3ba,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,df24f677-9a4d-4354-a65d-73b8d08feeea,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,00e96ed2-06a8-4c76-80ed-7ad8f01f3c65,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,6f574503-b54c-4b2b-8e37-b30666421eda,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,d7aa0c3d-a122-46f6-9b1f-2aa741c03296,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,002509f5-e34b-451a-8a0d-a8abdb09eca1,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,713d84b9-6d89-4c9e-a0a5-e4392c3adf2a,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,e4f28398-75ff-49c9-b54d-2db47da06b32,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,e0c0bcfe-85f1-42ab-b353-bb3298478ed8,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,47284dd5-1e08-45fd-ad31-8fab89412aad,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,fc7f8edc-8b7c-444b-902b-19bfea6cd628,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,8b2dc22f-4e31-4521-b5d8-c6a802e8614d,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,059155e2-b93f-42e4-83ac-65a013262782,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,765ff6cd-5e03-47bf-856d-b18e9df2ad6f,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,38051322-04e1-409d-8fbb-ae2dfab8adc2,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,ec2c71b1-bab5-4dbf-a74a-451da05c956f,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,8bb00829-7f0d-433b-95f8-2125bf1ce7cc,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,ebb8c3fb-3cf3-49c7-ba21-d1f859a62af3,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,a95e9d76-9fd5-4781-aebd-abf03fa7e738,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,093ef76a-452e-4cff-9103-4265f591911a,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,c8ec0ca9-1b52-4516-8fdc-0d7478f96cc9,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,3b1141dd-6ce0-4aba-955e-9c3a0d0cb547,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,7cf94f20-8e5d-42d0-9375-388c72567576,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,4ab6cd91-adc7-42c6-863a-8bce9db3005e,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,e62e90cc-084d-4d98-95ae-eac0129d5aa2,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,f2d9d980-99b1-41bb-a2c6-209ed7865877,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,7038b9bd-e55d-4fbb-a075-b52d359de9fb,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,60d301a6-2303-445a-994d-64d6aad31e29,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,e60394ac-72b8-4f51-8d93-a5c0294a6abb,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,7b9816a5-bb49-4838-aabd-281ed16c78b9,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,72f30865-a485-4f2d-925c-90c25d5293c0,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,ec10ac4c-c51c-4f18-8b51-25d5cff21502,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,0596a8df-796f-4cc5-922e-21ffdae6f317,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,99005919-7ccb-4a3d-9929-b5ed03b7f266,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,82cd9390-740d-4737-9634-677acbcb82c3,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,3c1420ce-0fc1-4c74-9e29-54528c87abf6,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,107dbc8a-a55d-464b-b3ca-d5babf0d9350,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,175b9d41-6066-43eb-8963-117371a8dc7f,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,220d5f60-9ee6-4679-bf80-ca8ebe47c384,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC1,CPU.S3,be5216bd-4918-485d-b71a-70a07939dac3,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.25,low,25245,11.0,96.0,0,904.0414066556503
DC2,CPU.S3,7cb66244-2fb2-44dc-bf1a-187e7884c002,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,90e8812c-ef69-411c-a8c7-0e7fb7a4b811,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,2f5a1b3a-ee78-4551-b4d5-2cfa3e2e68a4,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,1f566672-6624-4f98-bcb9-023b77ed8d54,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,2772eeb3-eee8-44af-859c-4d27662dede0,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,685eb74f-a5c6-4bd0-8423-cedbc47d6e39,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,5aacbb28-73dd-490c-9937-54569c6c0b0f,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,fd37854b-2414-4132-b6d5-bdfe671f920b,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,255f1f10-89ed-4caa-bba5-216259d63205,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,cca99325-a3d9-46e3-b7e1-91ad339dae3f,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,c2155f5c-ac04-4fe7-9af1-4ed5f17f0222,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,2f40c1e0-4550-4703-8fa2-62229f4ddff4,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,b2f885b6-d7a5-4692-8e0b-f6711aa3519b,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,4af87be4-5592-4082-9e20-19a73e4bf2fb,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,652a3e63-2018-4349-b2af-c50b4365c7e8,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,8e6e26fa-f455-45f7-af60-5e43cda03f78,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,36c64c3f-193c-4841-9c20-035ec36ff4c3,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,27773919-fe2f-4869-a0a0-cf00a81a5db7,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,8152cee8-4612-4251-bb06-557810d6f50e,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,dfd83214-5c8b-4c23-a97d-0b0513389100,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,02760b9c-5a25-46fe-9bfb-27e332c6ed01,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,c2c83f6e-b685-4e59-9331-19b535323a8e,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,be35a61a-a9ea-4d85-b2c0-0d03a30ef60d,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,a7cefa56-5ee1-47cd-8269-0a206d9c215f,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,37a2c8f3-ae69-419c-9093-897c4fb42631,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,eb5d9e60-6fba-450c-8dfb-370ef5048d3c,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,eef60ad8-098d-4640-abe4-370b02492b45,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,c1142e49-5486-4594-9aa1-4911b8be0bbf,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,80eda8df-7922-4c9e-8bdc-460146399160,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,4914bb73-c1aa-4552-9bf5-8fb7d70a4b35,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,11e74e96-a04a-4e35-9add-023fcdf6fedc,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,cdd8db8b-dda6-45e7-861b-c118c6a461b1,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,73ce5883-fb1a-4760-ac0e-f9eae4a2a304,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,94f53587-ea65-4ade-b573-89af7884c0b3,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,154d442e-befc-438c-bbb2-e4a76136de66,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,c60c43dc-733a-441f-9d1d-a8d539b6a072,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,b83715e6-a940-4fc9-97dd-5279c23bf194,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,43e5a36a-278b-4c99-8f9e-d3c35efb0619,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,b723e914-748a-4fea-bcc5-d1a56e0078fb,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC2,CPU.S3,de2774e0-9cb4-4167-9737-cf8893ef19c5,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.35,medium,15300,16.5,96.0,0,984.0414066556503
DC3,CPU.S3,7add30e4-c2da-47c5-8022-f918fe0582f9,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC3,CPU.S3,04e8f726-1581-41fc-89eb-fb6a13ea7deb,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC3,CPU.S3,4835c3d8-8215-43c8-8796-1af0bc6fff7a,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC3,CPU.S3,fd9b428d-e528-4c12-a56e-e2888b529d9c,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC3,CPU.S3,70ef44ef-c266-4f2e-8e32-e5ba06c21224,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC3,CPU.S3,8f43e7ca-e476-4b0d-8ae3-e535d5017f2c,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC3,CPU.S3,b38a72a4-4027-4b96-87ac-5655c93a76c5,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC3,CPU.S3,dc9d67b3-443d-4527-95bb-16b68eb31947,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC3,CPU.S3,17fa989b-bc67-4dc5-a70f-026fa2bac7cc,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC3,CPU.S3,04939122-841e-45ac-b248-f8d383a2d705,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC3,CPU.S3,36cc8f16-a137-4ee8-a76e-73846b465c76,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC3,CPU.S3,3ec3ef7d-87b6-4db9-9fc1-2bc2fff5eea7,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC3,CPU.S3,720e0211-15dc-4cba-bdc0-d8ed1bad0615,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC3,CPU.S3,830a53d9-db20-4310-8f63-6ae6f6144528,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC3,CPU.S3,10ed6a3c-7610-4b06-a5e2-f2eeb50f290f,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC3,CPU.S3,9a3edcab-ff01-40a4-a859-292ffb8304ba,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC3,CPU.S3,484ae7bb-1dbf-441b-9c9b-bd26bcf730fe,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC3,CPU.S3,4477a2a4-4010-49b4-b2d4-a01f78dc97cf,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC3,CPU.S3,2ee9b4d8-6d78-47d9-acef-94b59013553a,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC3,CPU.S3,c795bc82-0ecc-4c13-b69c-37c877674ec4,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.65,high,7020,27.5,96.0,0,1224.0414066556505
DC4,CPU.S3,559a1b38-19af-45bc-a0f2-0a8b75976951,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.75,high,8280,27.5,96.0,0,1304.0414066556505
DC4,CPU.S3,f8576172-4edb-4491-98c4-3553c3ff6a94,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.75,high,8280,27.5,96.0,0,1304.0414066556505
DC4,CPU.S3,d2349a83-17af-4b99-8b86-ecf881a51f71,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.75,high,8280,27.5,96.0,0,1304.0414066556505
DC4,CPU.S3,e1786005-2eb9-4b4c-9dbe-ea4f7fb85287,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.75,high,8280,27.5,96.0,0,1304.0414066556505
DC4,CPU.S3,549841f0-8db7-44f3-94c8-caaf5b181c66,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.75,high,8280,27.5,96.0,0,1304.0414066556505
DC4,CPU.S3,73dedff8-c87a-48dd-8b59-b5a97e1a8c06,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.75,high,8280,27.5,96.0,0,1304.0414066556505
DC4,CPU.S3,d8e8a994-9845-48d2-b934-ad1d299b9919,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.75,high,8280,27.5,96.0,0,1304.0414066556505
DC4,CPU.S3,e496a786-f884-4455-9fbf-d5ffe80dba52,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.75,high,8280,27.5,96.0,0,1304.0414066556505
DC4,CPU.S3,025a9260-8d98-4f5b-8513-04868b854301,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.75,high,8280,27.5,96.0,0,1304.0414066556505
DC4,CPU.S3,9a736e3c-a6d6-4a9a-b460-32858040686d,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.75,high,8280,27.5,96.0,0,1304.0414066556505
DC4,CPU.S3,3303711e-ed4b-4b90-a20f-f08afe9c206c,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.75,high,8280,27.5,96.0,0,1304.0414066556505
DC4,CPU.S3,e34d1b38-e5e3-4418-813a-d23fe683d484,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.75,high,8280,27.5,96.0,0,1304.0414066556505
DC4,CPU.S3,e1fcae57-d2c4-4c83-b5cf-168c4d79b687,hold,CPU,"[73,132]",19500,2,800,120,96,1000,375,0.75,high,8280,27.5,96.0,0,1304.0414066556505
